Parameter_set,chi2,ep_RAF_RAF_mod_RASstategtp_double_deltaG,bind_RASstategtp_RAF_kf,bind_RASstategtp_RAF_kD,bind_RASstategtp_RAF_phi,bind_RAF_RAF_kf,bind_RAF_RAF_kD,bind_RAF_RAF_phi,ep_RAF_RAF_mod_RAFi_single_deltaG,ep_RAF_RAF_mod_RAFi_double_deltaG,bind_RAFi_RAF_kf,bind_RAFi_RAF_kD,bind_RAFi_RAF_phi,bind_RAF_MEKphosphou_kf,bind_RAF_MEKphosphou_kD,bind_RAF_MEKphosphou_phi,catalyze_RAFrafiNone_MEK_p_kcat,bind_MEKi_MEK_kf,bind_MEKi_MEK_kD,bind_MEKi_MEK_phi,ep_MEKphosphop_MEKi_deltaG,bind_MEK_ERKphosphou_kf,bind_MEK_ERKphosphou_kD,catalyze_MEKmekiNone_phosphop_ERK_p_kcat,bind_DUSP_ERKphosphop_kf,bind_DUSP_ERKphosphop_kD,DUSP_eq,synthesize_ERKphosphop_DUSP_ERK_gexpslope,synthesize_ERKphosphop_DUSP_kdeg,ep_EGFR_EGFR_mod_EGF_single_deltaG,ep_EGFR_EGFR_mod_EGF_double_deltaG,bind_EGF_EGFR_kf,bind_EGF_EGFR_kD,bind_EGF_EGFR_phi,bind_EGFR_EGFR_kf,bind_EGFR_EGFR_kD,bind_EGFR_EGFR_phi,catalyze_GRB2_RTKSH2ANY_deg_kcat,EGFR_eq,synthesize_ERKphosphop_EGFR_ERK_gexpslope,synthesize_ERKphosphop_EGFR_kdeg,bind_RTK_GRB2_kf,bind_RTK_GRB2_kD,bind_SPRY_GRB2_kf,bind_SPRY_GRB2_kD,SPRY_eq,synthesize_ERKphosphop_SPRY_ERK_gexpslope,synthesize_ERKphosphop_SPRY_kdeg,bind_GRB2_SOS1_kf,bind_GRB2_SOS1_kD,catalyze_ERKphosphop_SOS1_pS1134_kbase,catalyze_ERKphosphop_SOS1_pS1134_kcat,ep_SOS1S1134p_GRB2_deltaG,bind_SOS1_RAS_kf,bind_SOS1_RAS_kD,catalyze_SOS1_RAS_gtp_kcat,catalyze_PP2A_MEK_u_kcatr,catalyze_DUSP_ERK_u_kcatr,catalyze_phosphatase_SOS1_uS1134_kcatr,catalyze_NF1_RAS_gdp_kcatr,BRAF_0,CRAF_0,RAS_0,MEK_0,ERK_0,GRB2_0,SOS1_0,pMEK_IF_scale,pMEK_IF_offset,pERK_IF_scale,pERK_IF_offset
0,31.6599447,0.000100034,1698.00592,0.051113624,1,5698.75085,12.12822513,1,0.005507641,12.91009446,12480.21048,0.029220322,0,64483.18792,0.000106902,1,918005.7892,18170.6051,0.017936494,0,10.13964079,99999942.44,4.35E-05,9999727.378,84890849.58,5.76E-05,991.7727468,0.625091797,0.305599374,0.000167917,0.000133,9759884.99,0.001338552,1,3808.949897,1.364306537,1,8.74137859,8150.573723,1.080177309,0.101983908,1086875.402,0.103189826,43226668.94,0.002346768,4.363317441,12.80207302,0.001225771,11392.20942,0.000611327,0.012300268,2059.626353,9999.807506,3641.296301,0.002050052,1384.267332,0.00010004,9.513262053,0.007881747,0.004696915,1108.14714,12658.65373,45420.60242,68344.67301,53641.21546,45073.8256,6363.386906,2.075052982,0.002449751,3.932720119,0.067748983
1,31.81771616,0.0001,4486.504627,0.09146503,1,1334.306956,5.275980115,1,0.015261721,11.4452594,5150.314029,0.030866342,0,25023.88353,0.000111287,1,381265.9929,10194.1148,0.015494671,0,12.71001725,100000000,3.64E-05,9965085.287,65501818.91,0.015863783,914.4435058,0.641512835,0.316141202,0.000154858,0.007075879,34473022.28,0.00186816,1,1252530.932,11.33667535,1,139.8222383,8167.721107,1.072973806,0.220088479,23719107.86,0.013545231,501992.0161,0.009050442,2.342678436,13.08632826,0.003989834,466854.1352,0.000566086,0.330138041,263560.7532,9996.068648,11721.61196,0.045706419,7349.390438,0.0001,9.398719965,0.008061272,0.000355197,1108.168038,12683.43303,45473.50186,68187.60552,53555.88496,44914.36769,6364.747073,2.134982945,0.001596711,3.962984192,0.061711726
2,32.54364848,0.0001,1698.586586,0.004780676,1,1001.869233,120.2024612,1,0.000239817,9767.244738,1000.082989,0.046762762,0,16091.00908,0.000100003,1,2491592.988,1254.653666,0.043146672,0,1.000683533,99989783.95,1.00E-05,16409.73735,99995210.74,1.13E-05,1678.387282,0.313645247,0.316227158,0.001059368,0.103643642,326260.5545,0.005015823,1,1208986.329,1.007110407,1,5.283363737,8131.741418,0.783212514,0.270906388,604012.1851,0.029931308,13588812.3,0.003840921,5.48187386,9.179719481,0.316227103,1151.759651,0.000100028,0.130303222,1000.06102,344.8088547,1540152.056,0.593256206,1065.922967,0.000195902,0.349818033,0.011626139,0.020310819,1107.922137,12586.08876,45457.73473,59389.11177,77911.32675,45142.99928,6359.435106,18.26345799,0.121369147,4.021444459,0.086472845
3,32.81658784,0.000100214,1356.701609,0.000333622,1,2652.655427,95.45224999,1,0.000268175,9875.219781,1556.924669,0.045843167,0,5442.971496,0.301759867,1,937220.0265,32864.57043,0.003220777,0,15.47424469,99552554.86,1.00E-05,14849.98107,99060295.69,1.11E-05,1691.645353,0.305794507,0.315550941,0.000805797,0.000450061,41159.66298,0.001742594,1,144653.6578,16.49606655,1,7.754401612,8304.209747,0.755614007,0.269201968,1062359.51,0.10027754,18491006.87,0.002193474,8.177187197,8.589701066,0.316042632,6224.717265,0.000151331,0.066713029,1231.656293,176.8757686,9274.745044,0.340054996,1482.775017,0.000222832,0.338533476,0.011354688,0.016288298,1108.048449,12578.61747,45465.21823,59649.6102,78182.755,45512.57106,6359.064646,18.91190162,0.118361576,3.960228547,0.091870684
4,32.89932829,0.0001,1002.272697,0.004239976,1,110242.0702,726.3713899,1,0.000100099,62.60460648,1330.007133,0.036798478,0,9201.829246,0.000106476,1,553826.6499,1000.000253,0.035445562,0,1.356780834,72339967.61,1.00E-05,12723.60242,26018804.03,6.00E-05,1622.584564,0.283918643,0.31622773,0.000768946,6971.41024,21240.12704,0.132699122,1,20836035.56,93.15197345,1,5.151604098,7583.879083,0.827910956,0.10522645,12756686.71,0.000305639,1032.985059,0.00033967,1.822133279,9.01292921,0.118398803,26169.30627,0.00015283,0.018158359,1000,9999.998849,1683.112518,0.000366021,59202.62726,0.000194191,0.93563582,0.012013123,0.000243187,1107.571597,12587.11413,45419.9153,60127.96561,78365.47133,45061.76517,6364.611659,8.03029408,0.103288379,4.077958765,0.0781944
5,32.9171166,0.0001,1588.348035,0.012693831,1,1000.005066,161.2285618,1,0.000269671,9996.533829,2119.634795,0.034475909,0,23053.88328,0.000100061,1,1492807.781,1632.504962,0.041423983,0,1.000000853,99999829.61,1.00E-05,22756.13387,47436357.13,8.78E-05,1606.686409,0.313127189,0.316227763,0.003646372,222.3147306,647894.8831,0.049719848,1,2036881.154,4.972857357,1,999.9871977,8193.962839,0.763036822,0.266924683,881054.878,0.00066522,26467.00747,0.000713992,3.7470774,9.274537659,0.013032649,43463604.48,0.000128852,0.701565233,1607304.572,9999.93714,55069.9865,0.002851329,3805.411357,0.000193287,0.792215279,0.011562638,0.00110666,1107.913897,12588.96714,45442.78922,59986.23713,78438.27244,44869.98558,6367.094563,8.196394741,0.129629503,4.004188039,0.084008672
6,32.9411169,0.000100297,29119.49104,0.000617712,1,11471267.84,98.77581688,1,0.000337663,3467.695381,1097.163977,0.038123817,0,1000.407756,0.725736356,1,512626.3665,27060.57933,0.002405622,0,19.54998597,5158970.803,1.00E-05,1226.308561,21191442.98,0.000305263,1567.859349,0.308769667,0.001000001,0.000133693,0.051369333,3710.012561,0.015125649,1,542586.2827,1.839312024,1,13.55227982,8440.473487,0.708011725,0.081341658,1224168.556,0.00012259,25021596.13,0.000404621,1.330471114,7.802611437,0.003056007,12149311.3,0.00023757,0.016291091,539759.3076,9959.290491,1474550.464,0.002817186,1793.874143,0.000410691,0.065111588,0.011978069,0.361894264,1107.205591,12570.03711,45465.37631,59575.41139,79664.75778,45810.70232,6363.564787,99.89104581,0.112783986,3.942745639,0.087551195
7,32.95948011,0.0001,1455.793011,0.005006298,1,4059.541823,179.8435679,1,0.000150891,9972.106316,2229.988739,0.043431441,0,6712.066027,0.342848308,1,1793802.893,36261.95795,0.003157934,0,14.8713488,88925697.44,1.00E-05,14209.75107,93127885.01,1.00E-05,1682.940105,0.311183327,0.316219218,0.001766166,0.005820633,17693584.32,0.000342871,1,205423.7249,3.416579573,1,7.165919746,8102.45355,0.789107225,0.238880918,343278.9238,0.040919233,1001.704581,0.006838767,5.354921393,9.322321577,0.056030788,1069.550414,0.000122581,0.163697633,1000.004099,567.7768486,1753.81403,0.006529544,163518.5585,0.000100004,0.475100196,0.011656084,0.000103016,1108.104095,12573.16544,45442.60193,59600.69307,77563.98077,45067.83649,6361.098345,13.30974424,0.121219612,3.990170192,0.091677004
8,32.96532571,0.0001,2569.947669,0.038885404,1,17270.31027,10.6640023,1,0.002490474,9999.996776,1000.761847,0.044718001,0,36656.59236,0.00014077,1,18917.19367,100000000,0.000337527,0,5.301062077,39299404.54,1.00E-05,352048.0637,9793786.672,2.27E-05,1089.870255,0.615625584,0.316227125,0.002001885,0.083674489,1299276.041,0.001836169,1,567864.6443,131.6203041,1,999.5080126,8367.782437,1.035391463,0.126577954,907793.7952,0.481870101,1004.664623,0.000873426,0.117648412,12.00837772,0.002023466,15332.92389,0.000171172,0.450855415,1000.46682,10000,74388.87315,0.000326264,1442.182197,0.003787848,0.200225916,0.009001984,0.001793357,1108.016684,12604.93295,45422.28313,68087.64921,55655.28615,45282.3774,6362.043877,2.317879796,0.079847718,3.930448499,0.088168514
9,32.9982188,0.0001,2244.891988,0.038612362,1,19098.20673,10.40824173,1,0.002497255,9999.998388,1010.005596,0.044271528,0,38577.37209,0.000100001,1,19541.78676,99452047.79,0.000346152,0,6.200390754,72771569.22,1.00E-05,541814.0341,29507062.05,0.002464519,1113.576302,0.611487833,0.314910992,0.001675958,0.674660665,60687775.67,0.015077862,1,420829.6297,16.18246178,1,999.3435183,8380.581232,1.035589218,0.131981275,2965.336,0.000107821,1035.362617,0.000920892,3.724811933,12.009559,0.004538541,14109.52521,0.000174533,0.480979703,1002.534992,10000,95676453.79,0.058080228,9238.468237,0.003777065,0.229904234,0.009021817,0.000282281,1108.025767,12605.17386,45425.51921,68079.69791,55557.29469,45293.11604,6362.194765,2.294205941,0.079059681,3.928323455,0.088797856
