Parameter_set,chi2,ep_RAF_RAF_mod_RASstategtp_double_deltaG,bind_RASstategtp_RAF_kf,bind_RASstategtp_RAF_kD,bind_RASstategtp_RAF_phi,bind_RAF_RAF_kf,bind_RAF_RAF_kD,bind_RAF_RAF_phi,bind_RAFi_RAF_kf,bind_RAFi_RAF_kD,bind_RAFi_RAF_phi,ep_RAF_RAF_mod_RAFi_single_deltaG,ep_RAF_RAF_mod_RAFi_double_deltaG,bind_RAF_MEKphosphou_kf,bind_RAF_MEKphosphou_kD,bind_RAF_MEKphosphou_phi,catalyze_RAFrafiNone_MEK_p_kcat,bind_MEKi_MEK_kf,bind_MEKi_MEK_kD,bind_MEKi_MEK_phi,ep_MEKphosphop_MEKi_deltaG,bind_MEK_ERKphosphou_kf,bind_MEK_ERKphosphou_kD,catalyze_MEKmekiNone_phosphop_ERK_p_kcat,bind_DUSP_ERKphosphop_kf,bind_DUSP_ERKphosphop_kD,DUSP_eq,synthesize_ERKphosphop_DUSP_ERK_gexpslope,synthesize_ERKphosphop_DUSP_kdeg,ep_EGFR_EGFR_mod_EGF_single_deltaG,ep_EGFR_EGFR_mod_EGF_double_deltaG,bind_EGF_EGFR_kf,bind_EGF_EGFR_kD,bind_EGF_EGFR_phi,bind_EGFR_EGFR_kf,bind_EGFR_EGFR_kD,bind_EGFR_EGFR_phi,catalyze_GRB2_RTKSH2ANY_deg_kcat,EGFR_eq,synthesize_ERKphosphop_EGFR_ERK_gexpslope,synthesize_ERKphosphop_EGFR_kdeg,bind_EGFR_GRB2_kf,bind_EGFR_GRB2_kD,bind_SPRY_GRB2_kf,bind_SPRY_GRB2_kD,SPRY_eq,synthesize_ERKphosphop_SPRY_ERK_gexpslope,synthesize_ERKphosphop_SPRY_kdeg,bind_GRB2_SOS1_kf,bind_GRB2_SOS1_kD,bind_GRB2_SOS1_phi,catalyze_ERKphosphop_SOS1_pS1134_kbase,catalyze_ERKphosphop_SOS1_pS1134_kcat,ep_SOS1S1134p_GRB2_deltaG,bind_SOS1_RAS_kf,bind_SOS1_RAS_kD,catalyze_SOS1_RAS_gtp_kcat,catalyze_PP2A_MEK_u_kcatr,catalyze_DUSP_ERK_u_kcatr,catalyze_phosphatase_SOS1_uS1134_kcatr,catalyze_NF1_RAS_gdp_kcatr,BRAF_0,CRAF_0,RAS_0,MEK_0,ERK_0,GRB2_0,SOS1_0,pMEK_IF_scale,pMEK_IF_offset,pERK_IF_scale,pERK_IF_offset
0,38.252048176573034,0.00018863415458652194,2076.6888446068806,0.9982545818767704,1.0,10846.408077704988,11.925798852315975,1.0,17085.060459871824,0.038084109046047275,0.0,0.02260010620300057,3.842568701354483,78755.73518532605,0.00010061716119249516,1.0,6805531.366857391,2866.527219283947,0.05432981797638946,0.0,2.899291177547518,37108895.6446219,4.8199053506103144e-05,7233567.192954428,29798049.001840927,0.0006187803731060705,868.4535004418616,0.6520166783961847,0.04287778082536017,0.00012973834691904073,0.11327811694433837,2346.1256087099177,0.0018319355477799382,1.0,1051.2556186800623,1.055523802803836,1.0,14.419930924618722,7563.116844971188,1.1823435366045973,0.04058656529632555,17822733.367825545,0.005387874982246235,845107.0992997036,0.019582258081967004,4.932535765760798,12.768546134858683,0.23069320941196556,2949.4266495541556,0.20056592462567813,0.0,0.10662204058262778,45776.715644271535,8552.45977039777,99741744.53840046,0.00018847643561722301,4733.680588781704,2.0842470717012337e-05,0.12720173997290582,0.008340808688855844,0.0006388391159253293,1108.080213651308,12607.981415954846,44918.307097389144,68797.92345279353,53668.08760209429,45051.48179556913,6369.390121664135,2.1851996234216142,0.043454650369876724,4.049763203270711,0.06658514349302874
1,38.416650651043966,0.049794659846773295,1718991.1073126313,0.000100052330723646,1.0,1017.3282862889969,2.598043450045605,1.0,562782.2869989953,0.03874707737531891,0.0,0.06425346753639374,3.1204860110113595,2425554.347678548,0.004795935238410196,1.0,477678231.1748509,1599.1537469676687,0.04119153156512157,0.0,6.118290729725296,90686153.19438988,7.390457944856484e-06,8694599.062369352,28183300.417935494,0.00013178494510331142,905.8624133620845,0.6476188036049786,0.016577435621349328,0.0004000332218541613,270.50655280084794,74198521.24461384,0.016633766090569196,1.0,19571.620677547464,9.64934801450727,1.0,17.547352479977864,7890.125297723129,1.1297755194792352,0.04643313749396497,816070.4644874822,0.00042036147765470177,3771883.409083417,0.02031740463705667,9.506661928374534,13.034162165489263,0.22112023640036607,36437.22798712561,0.1935469001304519,0.0,0.35645080512276894,206151.97982588838,595.6821961142603,92279969.0096255,0.01437309876995758,5119.148758558262,9.388347582440434e-06,9.724433706672608,0.008278838678300081,0.00047349270248215334,1107.242226598074,12678.20588134701,45360.07563045804,68556.77663895939,53237.78769510132,44981.30178333808,6368.284249885917,2.2007249137657743,0.043195535264021576,4.004408826745039,0.07268332056551
2,39.25552773106894,0.0001143993060446774,1017.4045604580458,0.050200537825325846,1.0,15676.255744456243,17.181482337608365,1.0,1268.9278522322115,0.055056010740449454,0.0,0.0017763558885695134,9942.24932768666,47812.78046133758,0.0002704715936837222,1.0,2110982.3394477726,6585.115701712787,0.030535347729114867,0.0,6.382188836897981,99999544.08919077,2.4489237325915012e-05,9989876.286374519,45470931.38631336,0.0014958277299535953,1035.8085463121927,0.661599289271032,0.0128837203621656,0.0007891932826025587,9910.037320256448,2876.748067354709,0.03314177083674246,1.0,881705.0535773126,37.70543972986564,1.0,9.677282295128583,8074.216494555151,1.1590917374880996,0.02983676611847371,9713139.810586512,0.0001034106790624897,1304.4496182292291,0.0008089515286181444,3.254725900752155,11.895801809693866,0.1697143753475227,69441.05494525742,0.0018412725980252026,0.0,1.1147455311428782,5021.353193629029,8069.656155139125,129784.76647091881,0.2963095575504111,1000.00515780391,4.079083635817302e-05,0.23521862125127466,0.008266640092235163,0.005642544463200992,1107.4759912139223,12575.311451794796,45485.39285059011,68912.32934522169,53174.63775345091,45700.30515527095,6364.047024114524,2.2158498067714194,0.0245884119157814,4.078557317596093,0.08031740347015368
3,39.3034026929493,0.07600144158543018,602277.2101378284,0.00013308569288129402,1.0,1024.3970520242945,1.4195830003946146,1.0,117949.54502758726,0.03974240364817215,0.0,0.07184063625570843,2.3067808106441925,600938.626453446,0.002313377461107235,1.0,23598072.985128555,1759.7490523436502,0.06354676987927067,0.0,3.1905504778037086,98216754.70516828,2.4005918094438772e-05,9981870.471537512,40979295.69733166,0.00601754005800131,910.6029648450323,0.6558774205561873,0.023113655180684513,0.011322289364935912,0.010265889374950491,45617.879113508505,0.0005130598856228663,1.0,7599253.811785144,68.24049053159217,1.0,6.116482394335739,7943.615416646515,1.1367287650376847,0.05624824544240455,277826.6037592358,0.0014053062896118693,14995764.104509326,0.02092045616622775,7.099714420937323,13.298330433891469,0.20418920582917505,2158.8094475964135,0.19248179054458114,0.0,0.22145452566839818,3795.3014816613413,2600.4471389347727,41450933.92283193,0.01853271981696619,2863.6471205201947,4.141062259259651e-05,1.7837930192063092,0.008119062227276931,0.0016547258825063019,1107.4380215055555,12686.484406741734,45537.19967301347,68608.07751232834,52100.577837151664,44917.48174774176,6367.922657837958,2.0448477595646457,0.050610429159937,3.949988852684323,0.07379160898536227
4,39.431383963090845,0.00010224805136275582,97740950.92987636,0.03718427686188456,1.0,1004.7434646350248,3.8309111540179543,1.0,130729.14776970047,0.03656917729269403,0.0,0.03939464851575605,15.270221616094318,743498.2831371954,0.001369792361234767,1.0,49396576.435191564,1000.0602834947111,0.09295795692142958,0.0,1.6981792502098954,36018562.81958433,2.9553235190164486e-05,5512419.876323719,18065189.01811186,0.0019771681689406775,820.1835412795427,0.6913902327754292,0.028557790941425517,0.010945401575170485,0.0036642581291006383,2687.631051124661,0.00041147492997746857,1.0,45852.20548337373,11.016464264142204,1.0,8.834873997453235,7760.513165177987,1.1790166276895337,0.03246574924661824,1037335.7371759008,0.03413532011942512,504674.1845917584,0.0060207026661606294,3.8515450322823526,12.987346572256461,0.21728888430966728,4170.788140803104,0.018210217794708612,0.0,0.10932551453331359,1550.9536529037402,8041.99798592136,3454.016914505939,0.0007890945974727369,1247.112952998155,2.2037956424383897e-05,1.102147652576351,0.00825968357499385,0.004212086681001659,1107.9463982328587,12586.878499658242,45500.639437212056,68932.45881213201,50679.88841502109,45209.110263578696,6366.986514295892,1.9025001951911467,0.06711632988626604,3.8184034170145438,0.07167508390220292
5,39.734775015888225,0.000183487304178617,1005.9868875904433,0.03085301924045372,1.0,222294.8851493112,35.07960625033695,1.0,56879.45284207416,0.04794311080979146,0.0,0.0013619475726672273,9686.614803730088,1362867.8604654577,0.0005757982094156311,1.0,20858214.53328703,1030.5868341381301,0.15647963917178587,0.0,1.0164267216236624,99810449.16585496,2.230967737992267e-06,4508333.446910475,11084463.815529345,0.004721167947589565,887.8568097002559,0.672490451043486,0.19323525117307566,0.0005034541440639131,3323.2226560417853,3045.579075374748,0.012837094846868513,1.0,1096931.0502444413,72.17704206842934,1.0,23.803190919993376,8112.9423514449045,1.1039156004433899,0.0474405909241554,1598978.1162653705,0.0002941451215969194,106141.89817197237,0.0009132378858871193,0.6737788091934547,11.108984223416583,0.1742214841231086,12676081.710328713,0.0011005662991857815,0.0,5.977520910020995,1729841.731425612,4680.413140713804,41250.931506246,0.20759204921672983,1221.4727424526166,0.00013916859731765747,9.78576508572367,0.008428313669280763,0.0031487507213567014,1106.4906030443483,12554.856986795146,45400.56211581989,68706.32667840067,54836.66948943813,45889.97171388391,6361.3627285069915,2.260907820079609,0.09120846567302077,4.007316826663386,0.0818358447922181
6,39.83897185796513,0.052858081958528466,319031.63529940695,0.0001001354260572182,1.0,1016.6281009301443,3.470112302520327,1.0,198658.45336785537,0.030852933280113834,0.0,0.060786827794847,4.920769022166692,87477.21137189258,0.4372785658622109,1.0,49845845.84104636,82007.2426972263,0.0029628822348634026,0.0,13.579739532584577,97674779.61655487,1.8851235981589906e-06,15605.03438676057,86867293.39360787,0.00011922832150373022,1404.5059067566974,0.2978856757097985,0.05148073158851771,0.019852385048506747,0.002044825677119188,7182295.1814161325,0.000164390637636142,1.0,441809.4185706337,9.566483130281883,1.0,7.106282037807051,7816.319260599721,0.7751271339796831,0.014395960620846042,627812.7913903827,0.004267617526044876,21247.303917102927,0.014151790149733702,4.643707217867353,8.848054723582482,0.297840813903771,3353.7136615489167,0.03738698984319456,0.0,0.1276003747887701,94929.24569588773,4487.270703511645,13892352.358470766,0.013637348846670129,19290.677473760872,1.7336051561190692e-05,1.3100306297846627,0.012472374136456011,0.000351178047589771,1107.2665747764793,12579.889605910268,45866.95085018565,60918.348349248656,79595.69881376285,44792.00159997788,6372.158062300267,5.640014623124278,0.11270005292632108,4.101073189867671,0.07187968082546523
7,40.17050715861625,0.00011044969730623202,1008.144882695422,0.006508536579073475,1.0,2107.4418494809474,70.61592624834257,1.0,13385.630115688415,0.03634700577641602,0.0,0.0011659357530301687,157.93254359784683,95263.42903195796,0.0004911975138522436,1.0,4787099.01060314,26933.661026006735,0.021846170559701377,0.0,2.7555362583239553,99190545.80198981,2.2162574066120335e-06,9793.854776465076,38004327.33004463,0.0006655793511586893,1745.4639760165585,0.24891082256049657,0.03697546803519559,0.0007121951961911977,821.2287595112823,23341897.089692876,0.0005985430054224124,1.0,13859.714684500532,19.687242010398975,1.0,267.31415104798083,6918.31544399059,0.9064759371004911,0.010390410599977168,15708.13915731112,0.004258650698594477,99998899.37038246,0.0007762900326896812,4.562210292917754,8.185414377883474,0.25466698692114437,4310143.503883559,0.00010011813016425109,0.0,0.21802595627092944,374749.43780760333,1492.833663902983,23280.785530107813,0.0015928097666646828,18533.220806687466,0.00014985891019698755,1.5621834049837102,0.012040780239341341,0.0002827407658354619,1107.6201553585374,12482.126798312222,45619.34653261608,60180.38613864219,78169.83405427782,45785.330133599244,6361.444316045158,5.644114298063017,0.08221917411252874,4.138590437987905,0.07928116440116262
8,40.268053396212046,0.0001014231839237101,1001.2118243478303,0.02468984991814536,1.0,24696.20946327139,43.7910329982234,1.0,2561.1188937069965,0.06582191600705702,0.0,0.0006628566688838232,9963.109190821262,32336.13505142724,0.0007133915813917847,1.0,571816.4039519773,10476.711143154296,0.025076781739313575,0.0,6.051412527628468,91262022.67973305,3.83636208339474e-05,23185.83014600564,6069701.589943005,0.00013593256751609048,1941.2365513149132,0.14313540131651087,0.016000984702044637,0.09573041905077746,902.2585163007436,720866.9423113777,0.018622549614404033,1.0,503529.523881866,10.118234723908802,1.0,8.118513178636713,6905.139551362707,0.9210897511698201,0.013224684502741007,6188099.810433409,0.00021874886080903264,17308.280308286077,0.0013867515820244034,9.998836571436062,9.057042173288464,0.28504957643009304,3804.662956626508,0.0002227182266705199,0.0,0.07501831583655928,1000.0605137671284,4198.4015142706685,2111.0651676812754,0.0014134369160473754,37026.69084910743,0.003682996532739883,0.2875067398149334,0.011882276933111838,0.00019428672158242836,1107.2637957426616,12602.990822370683,45705.74475778875,59733.14481893629,78026.60844480124,45114.12203604417,6363.925252535533,42.86686961585022,0.04637690368887207,4.231048562105217,0.06870456591088211
9,40.42351269961465,0.00010626707089100214,28825.601604432446,0.0004896287265824985,1.0,68008.58830044803,53.379266287867296,1.0,3238.22387159302,0.05210016275639715,0.0,0.00047134729601389883,9809.235924729363,17698.581089724434,0.10436886485871531,1.0,261232.514046274,98624.48536045286,0.004133297544033702,0.0,15.923095872997443,99836109.79780947,1.1226474649079019e-05,13631.695612551295,16654613.171490878,0.00030691729364794155,1815.0916964114695,0.1942803065214332,0.055134158446175335,0.009927658053822742,12.030495361649278,392708.5981267105,0.016455788238534226,1.0,163206.10115174402,2.397626996612055,1.0,8.20850184239937,6859.391959014761,0.8973705237387821,0.014040536731274247,1002.5832392691714,0.0001617361385058902,1025677.4796317699,0.001137938444439716,1.9924936225154322,6.911698098584228,0.3141071121539123,291087.1473222855,0.00012564447326574675,0.0,0.5026155260015525,27489.340451991255,5868.793653376953,1224026.1045039368,0.0010845016572366788,7557.312657297733,0.0029576559282428663,0.3874338033943764,0.012107888418020766,0.08579631795205192,1107.0463643443636,12520.339635199505,45264.34809843691,61030.10399599693,79075.02174221526,45987.98383158697,6377.954842421777,21.642352682655595,0.09976177553424792,3.9827578289956005,0.08334807809911698
